batch_size,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref
exact,7,RONPO-exact,0.2878496890460545,0.018611779513319993,0.5265437964668142,0.34017264361086297,1.389341474471963,0.6901000672078731
8,7,RONPO-stochastic,0.17413317248977583,0.13232829606959867,0.4930677229614171,0.11303969366972913,1.9672128099172344,0.11222873176260141
16,7,RONPO-stochastic,0.23131088500667152,0.07515058355270299,0.5003650510226137,0.0782645952144999,1.981522317779828,0.09791922390000776
32,7,RONPO-stochastic,0.24221989081151166,0.06424157774786285,0.5233976165166628,0.18156450735590413,1.8048015778533657,0.27463996382647005
64,7,RONPO-stochastic,0.2125529756853128,0.0939084928740617,0.5028990463480252,0.19286997839921055,2.0161453558604823,0.06329618581935331
128,7,RONPO-stochastic,0.26277402469820543,0.04368744386116907,0.5170924311583236,0.23591038451243118,1.802168006963165,0.27727353471667066
256,7,RONPO-stochastic,0.2591428727401675,0.047318595819207,0.5246814682533992,0.27617407915818865,1.7108159909650509,0.3686255507147847
512,7,RONPO-stochastic,0.2516210027792478,0.05484046578012669,0.5155012539860343,0.23887102689854903,1.8597377355718652,0.21970380610797077
1024,7,RONPO-stochastic,0.24563281820234326,0.06082865035703125,0.5179192008444439,0.22335977404903473,1.88904947773855,0.1903920639412858
2048,7,RONPO-stochastic,0.2546454624464751,0.05181600611289938,0.5198878039398809,0.23900746157904343,1.8342326986009891,0.2452088430788466
4096,7,RONPO-stochastic,0.25120247778054533,0.055258990778829176,0.5190879452126419,0.25841912822836666,1.8234742974877567,0.2559672441920794
exact,8,RONPO-exact,0.2879875605006032,0.009916107741040403,0.5315218290568107,0.34028310830465086,1.387195784742417,0.6922457569374187
8,8,RONPO-stochastic,0.20470376318247,0.09319990505917361,0.5042096005424394,0.1235188159123499,2.067704613748289,0.011736927931546723
16,8,RONPO-stochastic,0.2037352205217357,0.0941684477199079,0.49678720881864713,0.15223386794257474,1.9526170512198495,0.12682449045998642
32,8,RONPO-stochastic,0.2279382572815354,0.06996541096010819,0.5242334323851212,0.14931095295015484,1.9007580024337374,0.17868353924609862
64,8,RONPO-stochastic,0.2207269410804849,0.0771767271611587,0.4991281975353363,0.21807375184762723,1.9276026483669013,0.15183889331293454
128,8,RONPO-stochastic,0.23807792018870563,0.05982574805293797,0.5159726663813593,0.251891000055308,1.8695037379501798,0.20993780372965623
256,8,RONPO-stochastic,0.23673026148035664,0.061173406761286964,0.5191101592400243,0.2546975908649579,1.8815701579486164,0.19787138373121954
512,8,RONPO-stochastic,0.2566341053127176,0.04126956292892603,0.5216886710096237,0.23976797219121285,1.8209124339345637,0.2585291077452722
1024,8,RONPO-stochastic,0.25221011714800645,0.04569355109363715,0.5184103515200443,0.25079660782880536,1.8425336760482818,0.23690786563155397
2048,8,RONPO-stochastic,0.25391049927928017,0.04399316896236344,0.5216586745352207,0.25469904807545857,1.8222776258888427,0.2571639157909932
4096,8,RONPO-stochastic,0.25196550953216723,0.04593815870947637,0.523772212480118,0.24876718381122392,1.8318712226316065,0.24757031904822918
exact,9,RONPO-exact,0.28794566919394876,0.004532434528009499,0.5288340753979691,0.3403039038762297,1.3879909174278047,0.6914506242520309
8,9,RONPO-stochastic,0.23311507870568793,0.05936302501627033,0.5159581343834682,0.046839566806028465,1.8842301568547433,0.1952113848250922
16,9,RONPO-stochastic,0.2518189059073115,0.040659197814646775,0.4961498357537531,0.11363894966896965,1.851169713537767,0.22827182814206878
32,9,RONPO-stochastic,0.2045498633432566,0.08792824037870167,0.510423037248351,0.37398505146454214,1.7227618149065151,0.3566797267733206
64,9,RONPO-stochastic,0.24625702913029268,0.04622107459166558,0.5160457908326513,0.17079592412166142,1.9226704629459235,0.15677107873391236
128,9,RONPO-stochastic,0.27166351396640515,0.020814589755553115,0.5175344047031751,0.2455285542208733,1.7100950910085813,0.3693464506712545
256,9,RONPO-stochastic,0.24291432997350193,0.04956377374845633,0.5205556591582999,0.24734295402467227,1.8695768528757872,0.20986468880404868
512,9,RONPO-stochastic,0.25028117267149974,0.04219693105045852,0.5212547435157108,0.2796049850007941,1.7808358512892108,0.2986056903906251
1024,9,RONPO-stochastic,0.2515278344765854,0.04095026924537287,0.5196392759430742,0.24986629463341947,1.8347140653908935,0.2447274762889421
2048,9,RONPO-stochastic,0.25876451904544745,0.03371358467651081,0.5202114401371604,0.2452439232507414,1.8120866100677453,0.2673549316120905
4096,9,RONPO-stochastic,0.24762990729876397,0.04484819642319429,0.5190248278930345,0.25787420891329876,1.8458430483597081,0.2335984933201275
exact,10,RONPO-exact,0.2882489921484287,0.009425728472703732,0.5374523368726951,0.3405499657886359,1.384684736220056,0.6947568054597797
8,10,RONPO-stochastic,0.2139499885599661,0.08372473206116632,0.4947409923346054,0.0694438600930924,1.947850249945033,0.1315912917348023
16,10,RONPO-stochastic,0.1977502216088223,0.09992449901231013,0.48252057966774514,0.09461525683643138,1.9397598365463053,0.1396817051335304
32,10,RONPO-stochastic,0.26503955595007755,0.03263516467105487,0.5251549460180026,0.2055979768395772,1.7586731364736492,0.32076840520618705
64,10,RONPO-stochastic,0.22893148737936075,0.06874323324177167,0.5145651770896972,0.26887788354338815,1.8400746378140613,0.23936690386577447
128,10,RONPO-stochastic,0.24135286451410937,0.05632185610702306,0.514921681810434,0.24507293041354422,1.8889503352889225,0.19049120639091305
256,10,RONPO-stochastic,0.23365066625353387,0.06402405436759856,0.514618480565623,0.23290862942012866,1.921520201571034,0.15792134010880196
512,10,RONPO-stochastic,0.26470755284750075,0.03296716777363168,0.5278616335733669,0.26409253184758014,1.7297889794213321,0.349652562258504
1024,10,RONPO-stochastic,0.2517141092080816,0.0459606114130508,0.5239876868635743,0.22825966754899815,1.8700246895980215,0.20941685208181443
2048,10,RONPO-stochastic,0.24995189368371207,0.04772282693742036,0.5243236112823367,0.25927454371263564,1.8318509716621185,0.2475905700177172
4096,10,RONPO-stochastic,0.24706360832245186,0.050611112298680566,0.5229312742120605,0.24735162878347905,1.8650438001336813,0.21439774154615465
exact,11,RONPO-exact,0.2879177483107299,0.01773345680283367,0.5288693857865377,0.3402687178471803,1.3882308947213953,0.6912106469584401
8,11,RONPO-stochastic,0.1774680847495593,0.12818312036400428,0.483861653852044,0.12565546859148505,1.8918755179849285,0.18756602369490738
16,11,RONPO-stochastic,0.17598233213819187,0.12966887297537172,0.5001576402053965,0.21958201963640117,1.9976610086732407,0.08178053300659475
32,11,RONPO-stochastic,0.22977852504771082,0.07587268006585277,0.5044170275330518,0.13249497576183242,1.9090440147893009,0.17039752689053525
64,11,RONPO-stochastic,0.2673393454210154,0.03831185969254819,0.508457814084839,0.16906909078934093,1.8303466633678567,0.24909487831197885
128,11,RONPO-stochastic,0.2777377073346695,0.02791349777889407,0.51992825188278,0.23247455024251823,1.7210443574692724,0.3583971842105633
256,11,RONPO-stochastic,0.2462118286075738,0.059439376505989794,0.5187277455822114,0.24863850633165888,1.8604227286180417,0.21901881306179427
512,11,RONPO-stochastic,0.25155677217821776,0.054094432935345826,0.5214203280365381,0.2763253050312396,1.7873812904131796,0.29206025126665636
1024,11,RONPO-stochastic,0.2468517742546364,0.05879943085892719,0.5197766067298204,0.266464844277154,1.83111004429266,0.24833149738717597
2048,11,RONPO-stochastic,0.25063355895880274,0.055017646154760846,0.518261304008754,0.2557991166329697,1.8351823160899707,0.24425922558986496
