custom_id,prompt_id,left_model,right_model,model_a,model_b,order,input_tokens_est
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|baseline|htmnpo_skywork_s2|keep,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,baseline,htmnpo_skywork_s2,baseline,htmnpo_skywork_s2,keep,716.5
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|baseline|htmnpo_athene_s2|keep,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,baseline,htmnpo_athene_s2,baseline,htmnpo_athene_s2,keep,527.2
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|baseline|htmnpo_armo_s2|flip,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,baseline,htmnpo_armo_s2,htmnpo_armo_s2,baseline,flip,411.2
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|baseline|ronpo_s2_ckpt1400|keep,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,baseline,ronpo_s2_ckpt1400,baseline,ronpo_s2_ckpt1400,keep,417.5
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|baseline|ronpo_s2_ckpt2457|flip,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,baseline,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,baseline,flip,417.5
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|htmnpo_skywork_s2|htmnpo_athene_s2|keep,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_skywork_s2,htmnpo_athene_s2,keep,818.5
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|htmnpo_skywork_s2|htmnpo_armo_s2|flip,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,htmnpo_skywork_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_skywork_s2,flip,702.5
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|htmnpo_skywork_s2|ronpo_s2_ckpt1400|keep,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,htmnpo_skywork_s2,ronpo_s2_ckpt1400,htmnpo_skywork_s2,ronpo_s2_ckpt1400,keep,708.8
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|htmnpo_skywork_s2|ronpo_s2_ckpt2457|flip,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,htmnpo_skywork_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_skywork_s2,flip,708.8
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|htmnpo_athene_s2|htmnpo_armo_s2|flip,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,htmnpo_athene_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_athene_s2,flip,513.2
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|htmnpo_athene_s2|ronpo_s2_ckpt1400|flip,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,htmnpo_athene_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_athene_s2,flip,519.5
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|htmnpo_athene_s2|ronpo_s2_ckpt2457|keep,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,htmnpo_athene_s2,ronpo_s2_ckpt2457,htmnpo_athene_s2,ronpo_s2_ckpt2457,keep,519.5
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|htmnpo_armo_s2|ronpo_s2_ckpt1400|flip,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,htmnpo_armo_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_armo_s2,flip,403.5
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|htmnpo_armo_s2|ronpo_s2_ckpt2457|flip,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,htmnpo_armo_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_armo_s2,flip,403.5
ronpo-s2-gpt55|d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d|ronpo_s2_ckpt1400|ronpo_s2_ckpt2457|flip,d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,flip,409.8
ronpo-s2-gpt55|d4a154926b73e8fb6b63f9783af2275ef9202734|baseline|htmnpo_skywork_s2|flip,d4a154926b73e8fb6b63f9783af2275ef9202734,baseline,htmnpo_skywork_s2,htmnpo_skywork_s2,baseline,flip,446.8
ronpo-s2-gpt55|d4a154926b73e8fb6b63f9783af2275ef9202734|baseline|htmnpo_athene_s2|flip,d4a154926b73e8fb6b63f9783af2275ef9202734,baseline,htmnpo_athene_s2,htmnpo_athene_s2,baseline,flip,435.8
ronpo-s2-gpt55|d4a154926b73e8fb6b63f9783af2275ef9202734|baseline|htmnpo_armo_s2|flip,d4a154926b73e8fb6b63f9783af2275ef9202734,baseline,htmnpo_armo_s2,htmnpo_armo_s2,baseline,flip,489.0
ronpo-s2-gpt55|d4a154926b73e8fb6b63f9783af2275ef9202734|baseline|ronpo_s2_ckpt1400|flip,d4a154926b73e8fb6b63f9783af2275ef9202734,baseline,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,baseline,flip,363.5
